rank,name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus,players,color_O,color_D,color_Diff
1,Cameron Boozer,Duke,9.99509,5.00345,14.99854,1888,10.5772094545795,3.57691091835969,14.1541203729392,128.844914341411,85.0604536185985,43.7844607228125,587,2561473,#FF9D23,#FFAA3E,#FF9D23
2,Yaxel Lendeborg,Michigan,7.73266,5.64596,13.37862,1811,7.22957086038581,4.28672723061063,11.5162980909964,129.117910057682,83.7019221887263,45.4159878689553,540,2098119,#FFB355,#FF9F26,#FFA83B
3,Jeremy Fears Jr.,Michigan State,8.12429,3.51492,11.63921,1742,9.47799723452122,1.99974376688259,11.4777410014038,121.293538942293,89.4296528315413,31.8638861107522,321,2119925,#FFB04C,#FFC378,#FFB354
4,Braden Smith,Purdue,8.36375,3.24978,11.61353,1954,8.16217602195882,3.1377035083074,11.2998795302662,131.341622977167,98.115867032884,33.2257559442831,386,1911492,#FFAD47,#FFC782,#FFB354
5,Joshua Jefferson,Iowa State,5.90736,4.81603,10.72339,1840,6.3501350068595,3.55345237005908,9.90358737691859,124.577034221905,87.6517097828628,36.925324439042,522,1908432,#FFC57D,#FFAD46,#FFB962
6,Bruce Thornton,Ohio State,8.07102,2.32319,10.39421,2004,7.67076252992908,2.18786220611672,9.8586247360458,123.44771803635,98.1995918016511,25.2481262346987,273,1917726,#FFB04D,#FFD7A5,#FFBB66
7,Ja'Kobi Gillespie,Tennessee,7.2898,3.0568,10.3466,1917,6.59156070161106,3.03833051149203,9.6298912131031,123.532305694255,94.7396533246207,28.7926523696344,329,1917663,#FFB85E,#FFCB89,#FFBC67
8,Zuby Ejiofor,St. John's,6.1005,4.02924,10.12974,1790,6.95647447069537,3.69032054326171,10.6467950139571,118.439028573909,90.7961774559194,27.6428511179891,310,1933767,#FFC378,#FFBA64,#FFBD6A
9,Patrick Ngongba,Duke,5.13002,4.97268,10.1027,1106,5.67613363665217,2.6426816781847,8.31881531483688,125.25530792637,80.4702805423577,44.7850273840123,365,2319989,#FFCD8E,#FFAA40,#FFBD6B
10,Kingston Flemings,Houston,6.56156,3.39927,9.96083,1782,6.76666947402739,3.07933554092591,9.8460050149533,123.310988645818,89.8501781937146,33.4608104521033,364,2505096,#FFBF6E,#FFC57C,#FFBE6D
11,Oscar Cluff,Purdue,6.94704,2.93386,9.8809,1358,6.91645045706072,2.28081418455373,9.19726464161445,135.190732906749,94.9866486947012,40.2040842120475,347,2093260,#FFBB66,#FFCD8E,#FFBF6E
12,AJ Dybantsa,BYU,7.10343,2.74423,9.84766,2092,6.89647776231793,2.16451791590261,9.06099567822055,123.022920650515,97.394338773439,25.6285818770759,316,2478373,#FFBA62,#FFD095,#FFBF6E
13,Flory Bidunga,Kansas,4.40679,5.40761,9.8144,1780,4.04826321431971,3.89662413304751,7.94488734736723,118.689944904702,87.191519614442,31.4984252902602,290,2321327,#FFD49E,#FFA32F,#FFBF6F
14,Christian Anderson,Texas Tech,7.42832,2.32259,9.75091,2031,8.05034875251751,2.56255327717424,10.6129020296918,122.674589447973,97.4050487460807,25.2695407018927,245,2305704,#FFB65B,#FFD7A5,#FFBF70
15,Keaton Wagler,Illinois,7.55776,2.18609,9.74385,1763,8.27099742337496,1.92670966888613,10.1977070922611,131.436340821082,95.0568727234907,36.3794680975909,435,2548114,#FFB558,#FFD9AB,#FFBF70
16,Tyler Tanner,Vanderbilt,6.16344,3.56324,9.72668,2003,6.51302797989374,3.55243446258537,10.0654624424791,123.782756850986,95.7871653982912,27.9955914526943,348,2280666,#FFC377,#FFC276,#FFC070
17,Aday Mara,Michigan,3.66843,5.71774,9.38617,1396,4.40910880431866,4.46891663350707,8.87802543782572,124.431913393403,83.1293851772856,41.3025282161178,365,2106223,#FFDBAE,#FF9D23,#FFC275
18,Henri Veesaar,North Carolina,5.50374,3.86332,9.36706,1610,5.58419524509141,2.53102962652144,8.11522487161284,121.608344027308,91.688400061725,29.9199439655833,350,1896872,#FFC986,#FFBD6A,#FFC275
19,Bennett Stirtz,Iowa,6.66675,2.65176,9.31851,1960,6.41767009863116,1.87513883391876,8.29280893254992,120.70312895047,95.210297576879,25.4928313735912,319,1891715,#FFBE6C,#FFD199,#FFC276
20,Silas Demary Jr.,Connecticut,5.83662,3.46994,9.30656,1642,6.4676054578281,3.02603793048138,9.49364338830948,123.284676276505,92.5452642069746,30.7394120695306,332,2098959,#FFC67E,#FFC479,#FFC276
21,Graham Ike,Gonzaga,6.06857,3.19035,9.25892,1554,5.85942684001724,1.79191026057235,7.65133710058959,121.966304238325,88.9167900789661,33.0495141593589,420,1608381,#FFC479,#FFC884,#FFC377
22,Morez Johnson Jr.,Michigan,4.53978,4.63075,9.17053,1511,5.1535334769814,3.23547189296541,8.38900536994681,124.284081822598,84.9539455865091,39.3301362360889,326,2321443,#FFD29B,#FFB04D,#FFC378
23,Tarris Reed Jr.,Connecticut,4.30849,4.80782,9.11631,1266,4.9838851836682,3.81769694990469,8.80158213357289,123.290424370061,88.64114561698,34.649278753081,281,1909391,#FFD5A0,#FFAD46,#FFC479
24,Brayden Burries,Arizona,5.27569,3.82024,9.09593,1816,5.33361306002621,2.67558670515709,8.00919976518331,123.513418197967,85.8060387722173,37.7073794257493,492,2478068,#FFCB8B,#FFBE6C,#FFC479
25,Thomas Haugh,Florida,5.42221,3.63924,9.06145,1942,5.37746836550893,2.98072114816349,8.35818951367242,123.604367877785,87.9625995336775,35.6417683441073,416,2106887,#FFCA87,#FFC173,#FFC47A
26,Darius Acuff Jr.,Arkansas,7.64949,1.38111,9.0306,2102,7.92134692010544,1.98904115974064,9.91038807984608,126.013210207812,99.7359802606651,26.2772299471474,267,2533521,#FFB456,#FFE7C9,#FFC47A
27,Caleb Wilson,North Carolina,5.2275,3.73387,8.96137,1316,6.20582358332857,3.5021899443543,9.70801352768287,118.889381499824,95.3659248890975,23.5234566107269,208,2506579,#FFCC8C,#FFBF6F,#FFC57B
28,Alex Condon,Florida,4.49987,4.45045,8.95032,1788,5.06318596121243,3.65703875283356,8.72022471404598,121.920356666451,87.3314398834452,34.5889167830057,377,2106886,#FFD39C,#FFB354,#FFC57B
29,Labaron Philon,Alabama,7.04812,1.83316,8.88128,1703,7.20533410662178,2.14772551369588,9.35305962031765,124.767585851864,101.370810742391,23.3967751094727,146,2301240,#FFBA64,#FFDFB8,#FFC57C
30,JT Toppin,Texas Tech,4.70824,4.14503,8.85327,1498,4.41181149845509,3.47445424784179,7.88626574629687,122.266192351309,94.1485899718962,28.117602379413,209,2126448,#FFD197,#FFB85F,#FFC57D
31,Duke Miles,Vanderbilt,5.32886,3.32951,8.65837,1372,5.44719679458525,3.67340770646612,9.12060450105137,126.046970706368,93.3821544320373,32.6648162743304,325,1596321,#FFCB89,#FFC67F,#FFC680
32,Isaiah Evans,Duke,5.68015,2.9686,8.64875,1594,4.99683929126741,2.08419511320872,7.08103440447613,128.362519899431,85.086736349139,43.2757835502919,472,2319985,#FFC782,#FFCC8C,#FFC780
33,Richie Saunders,BYU,6.69998,1.93789,8.63787,1403,6.24581315936756,1.9883082187298,8.23412137809736,125.215735104123,97.2094792089389,28.006255895184,259,1906894,#FFBD6B,#FFDEB4,#FFC780
34,Aden Holloway,Alabama,7.5543,1.01311,8.56741,1499,6.90033656467214,1.02844979707008,7.92878636174222,129.293669296031,99.5268351380793,29.7668341579518,237,2106215,#FFB559,#FFEDD8,#FFC781
35,Milan Momcilovic,Iowa State,6.12315,2.41249,8.53564,1740,6.97089884981854,0.865501654425419,7.83640050424396,123.152867534988,87.2806416228583,35.8722259121298,490,2099047,#FFC378,#FFD6A2,#FFC782
36,Pryce Sandfort,Nebraska,5.62797,2.86908,8.49705,1791,6.02253175254491,1.75120608306475,7.77373783560966,118.149642177823,88.3633990607544,29.7862431170688,358,2113322,#FFC883,#FFCE90,#FFC882
37,Emanuel Sharp,Houston,5.22564,3.24495,8.47059,1649,5.79802535295787,1.71112390813901,7.50914926109688,119.26944993847,85.9129667450237,33.356483193446,350,1890526,#FFCC8C,#FFC782,#FFC882
38,Dailyn Swain,Texas,5.42055,2.97157,8.39212,1721,5.7747303749265,3.44797845109546,9.22270882602197,121.940395928096,103.478853486876,18.4615424412203,142,2149051,#FFCA87,#FFCC8C,#FFC884
39,Tamin Lipsey,Iowa State,4.83286,3.55748,8.39034,1664,5.70255202531474,2.08937368416846,7.7919257094832,119.767765002341,88.3745932119159,31.3931717904253,376,1908247,#FFD094,#FFC276,#FFC884
40,Trey Kaufman-Renn,Purdue,6.19177,2.19417,8.38594,1488,5.82619892688121,1.94560399277947,7.77180291966068,133.049222876844,95.1513316180736,37.8978912587708,353,1693954,#FFC276,#FFD9AA,#FFC884
41,Joseph Tugler,Houston,3.20007,5.08251,8.28258,1300,3.40975151906229,3.57719504948199,6.98694656854428,121.92012469839,85.8822895758315,36.0378351225583,311,2111602,#FFDFB8,#FFA83B,#FFC985
42,Robbie Avila,Saint Louis,5.8696,2.37923,8.24883,1544,5.80201795069885,0.87556450207169,6.67758245277054,120.541459339786,94.4482526637774,26.0932066760082,417,1935255,#FFC67E,#FFD6A3,#FFC986
43,Chance Mallory,Virginia,5.52759,2.65758,8.18517,1388,5.54614433912265,2.87290173739671,8.41904607651935,123.692894176314,94.3666169405104,29.3262772358034,291,2505044,#FFC985,#FFD198,#FFCA87
44,Nick Boyd,Wisconsin,6.61846,1.56141,8.17987,1856,6.89914479667508,1.64407870522731,8.5432235019024,124.832531996891,99.7622464351232,25.0702855617681,214,1611694,#FFBE6D,#FFE4C3,#FFCA87
45,Jaden Bradley,Arizona,4.52618,3.63068,8.15686,1869,4.5832409507232,2.21511920037099,6.79836015109419,121.924748460454,84.5466144789017,37.3781339815528,463,1920157,#FFD39B,#FFC173,#FFCA87
46,Sam Hoiberg,Nebraska,3.76081,4.38959,8.1504,1718,5.21488605966466,3.12531346408292,8.34019952374758,115.755055516554,86.613679997723,29.141375518831,332,1702080,#FFDAAC,#FFB456,#FFCA87
47,Zvonimir Ivisic,Illinois,3.3171,4.81113,8.12823,934,2.65126384200684,3.89095719690816,6.542221038915,131.761970429552,92.5947918459741,39.167178583578,255,2128701,#FFDEB6,#FFAD46,#FFCA87
48,Fletcher Loyer,Purdue,6.24419,1.83423,8.07842,1664,6.28888880320487,1.12616094665676,7.41504974986163,132.322767028039,93.2210837029858,39.1016833250533,433,1911404,#FFC275,#FFDFB8,#FFCA88
49,Rueben Chinyelu,Florida,2.81684,5.25859,8.07543,1482,3.24922290907807,4.27462082777417,7.52384373685224,123.592519682156,84.7356437488436,38.8568759333128,350,2093257,#FFE3C1,#FFA535,#FFCA88
50,Nate Ament,Tennessee,4.42013,3.48589,7.90602,1566,5.08213700869993,2.89378501350406,7.97592202220399,118.517551592035,92.4734083897262,26.0441432023084,220,2505205,#FFD49D,#FFC379,#FFCB8B
51,Dillon Mitchell,St. John's,3.94744,3.95206,7.8995,1652,4.17870711641881,2.76650206310606,6.94520917952486,118.553469014052,89.8950839302301,28.6583850838221,274,1918659,#FFD8A8,#FFBB67,#FFCB8B
52,Tre Donaldson,Miami (Fla.),5.90814,1.9858,7.89394,1940,5.76682544793009,1.39304562393713,7.15987107186722,121.545730967556,96.994807835121,24.5509231324353,350,1905711,#FFC57D,#FFDDB2,#FFCB8B
53,Boopie Miller,SMU,6.16552,1.71443,7.87995,1999,6.9391141162684,1.99162066677853,8.93073478304693,120.902995173,100.290025363854,20.6129698091454,260,1720487,#FFC377,#FFE1BD,#FFCC8B
54,Jaxon Kohler,Michigan State,4.29158,3.58075,7.87233,1482,5.00544892613693,2.78268565474159,7.78813458087852,122.440008739934,89.0733277780127,33.3666809619213,331,1930360,#FFD5A0,#FFC275,#FFCC8B
55,Motiejus Krivas,Arizona,2.95136,4.89876,7.85012,1512,3.31970562701309,3.41619851742476,6.73590414443785,121.206680951371,80.8861431677129,40.3205377836585,437,2098978,#FFE2BE,#FFAB42,#FFCC8C
56,Quadir Copeland,NC State,5.13794,2.64751,7.78545,1653,5.53412774293251,2.89230691584844,8.42643465878095,124.296434238113,99.4386708975371,24.8577633405758,233,1909612,#FFCD8E,#FFD299,#FFCC8D
57,Hannes Steinbach,Washington,4.83879,2.93941,7.7782,1748,5.06328284148248,2.98301945465463,8.04630229613711,117.41589135576,98.9738896553011,18.4420017004594,132,2533777,#FFD094,#FFCD8E,#FFCC8D
58,Allen Graves,Santa Clara,5.49166,2.27691,7.76857,1290,6.80962575570133,3.55293252568844,10.3625582813898,122.513472487297,104.002642006322,18.5108304809753,180,2305403,#FFC986,#FFD8A7,#FFCC8D
59,Darryn Peterson,Kansas,4.29558,3.43681,7.73239,1091,4.880921632725,2.66958846095677,7.55051009368177,114.600145341201,89.8321757349801,24.7679696062209,75,2483811,#FFD5A0,#FFC47B,#FFCC8D
60,Alex Karaban,Connecticut,5.04602,2.65245,7.69847,1880,4.9722906772533,1.84061166198303,6.81290233923632,121.15719639444,91.831176112907,29.326020281533,373,1912263,#FFCE90,#FFD199,#FFCD8E
61,Chad Baker-Mazara,USC,4.60359,3.07874,7.68233,1312,4.5188321442596,2.7219859849961,7.2408181292557,112.278931335282,98.0115835405107,14.2673477947711,79,1589721,#FFD299,#FFCA88,#FFCD8E
62,Braden Huff,Gonzaga,5.8725,1.7816,7.6541,842,6.45401574287092,-0.231938350427772,6.22207739244315,120.438568459354,89.2764649182281,31.1621035411261,248,1890356,#FFC57D,#FFE0BA,#FFCD8E
63,Ebuka Okorie,Stanford,5.73249,1.87794,7.61043,1784,6.18105183990886,1.69750871834387,7.87856055825273,115.289627776484,100.376819074905,14.9128087015785,145,2484120,#FFC781,#FFDFB6,#FFCD8F
64,Izaiyah Nelson,South Florida,3.88076,3.68899,7.56975,1586,4.57425632892088,2.57099181173155,7.14524814065243,116.919418342882,95.0392812948387,21.8801370480435,309,1910991,#FFD9A9,#FFC071,#FFCE90
65,Boogie Fland,Florida,4.24615,3.30829,7.55444,1796,3.39381423632912,2.35901813344946,5.75283236977858,125.242153244525,87.24380895449,37.9983442900354,426,2302253,#FFD5A1,#FFC67F,#FFCE90
66,Cameron Carr,Baylor,5.4592,2.088,7.5472,1824,5.75909091782424,2.82322284532802,8.58231376315226,122.057802940532,102.495739352396,19.5620635881358,158,2092651,#FFC987,#FFDBAE,#FFCE90
67,Elliot Cadeau,Michigan,4.63608,2.90983,7.54591,1602,4.52571659478335,2.02479146005235,6.5505080548357,126.321528957806,86.587229290336,39.7342996674703,384,2106184,#FFD199,#FFCD8F,#FFCE90
68,Mason Falslev,Utah State,4.94521,2.59865,7.54386,1842,5.27893297442329,2.21348756796774,7.49242054239104,117.820374351852,97.7831727617251,20.037201590127,300,1890312,#FFCE92,#FFD29B,#FFCE90
69,Robert Wright III,BYU,6.06968,1.46628,7.53596,2101,5.75659788127024,1.31233884177165,7.06893672304189,122.465763550538,98.2922430577506,24.1735204927878,258,2292830,#FFC479,#FFE6C6,#FFCE90
70,Nolan Winter,Wisconsin,4.74471,2.79096,7.53567,1604,4.55400688856995,2.25853193705529,6.81253882562524,124.503156371393,96.874955462241,27.6282009091517,275,2093085,#FFD096,#FFCF93,#FFCE90
71,Maliq Brown,Duke,2.91709,4.57538,7.49247,1128,3.01374862178646,4.93191729185876,7.94566591364523,123.276483062141,89.7909939842638,33.4854890778773,236,1909609,#FFE2BE,#FFB14F,#FFCE91
72,Malik Reneau,Miami (Fla.),5.15803,2.31346,7.47149,1636,5.28264093593759,1.75449989093857,7.03714082687616,121.033386700248,96.9055338505044,24.1278528497441,289,1916393,#FFCC8D,#FFD7A6,#FFCE91
73,Thijs De Ridder,Virginia,4.45295,3.01634,7.46929,1564,4.74764409215866,1.94428059283677,6.69192468499543,122.135344706895,91.2919368006922,30.8434079062029,356,2505021,#FFD39D,#FFCB8B,#FFCE91
74,David Mirkovic,Illinois,5.22294,2.23463,7.45757,1530,5.92131586519907,1.96765405933295,7.88896992453202,128.953753257289,95.4598312846782,33.4939219726105,331,2548104,#FFCC8C,#FFD9A9,#FFCE91
75,John Blackwell,Wisconsin,5.40129,2.02239,7.42368,1908,5.58612711499014,1.80152344007879,7.38765055506893,123.893248790057,99.2465998091948,24.6466489808625,218,2093083,#FFCA88,#FFDCB1,#FFCE92
76,Koa Peat,Arizona,3.81587,3.56869,7.38456,1562,3.81244008216867,1.97623936252948,5.78867944469815,123.075431720697,84.6821871825675,38.3932445381294,440,2478069,#FFD9AB,#FFC275,#FFCF92
77,Mario Saint-Supery,Gonzaga,4.19261,3.15067,7.34328,1326,4.28372956401139,1.75493118166954,6.03866074568093,121.65621624506,87.9251668518103,33.7310493932493,398,2477489,#FFD6A2,#FFC986,#FFCF93
78,Baba Miller,Cincinnati,3.32253,4.01737,7.3399,1700,4.43482466967883,3.00764137061707,7.4424660402959,109.597588305576,91.0453069471309,18.5522813584452,117,1909085,#FFDEB6,#FFBA64,#FFCF93
79,Paulius Murauskas,Saint Mary's,4.85817,2.45518,7.31335,1676,5.49146015548441,1.48415549625323,6.97561565173765,118.197856591053,94.5136305403719,23.6842260506814,339,2098979,#FFCF94,#FFD5A0,#FFCF93
80,Aiden Sherrell,Alabama,4.39746,2.89972,7.29718,1361,3.77429928141987,3.1496005034842,6.92389978490406,128.175779473003,98.1283525057209,30.0474269672821,261,2301241,#FFD49E,#FFCD8F,#FFCF94
81,B.J. Edwards,SMU,4.5735,2.70935,7.28285,1689,4.96765188921158,2.95307081817876,7.92072270739034,120.497802670094,99.6298610065,20.8679416635936,210,1890537,#FFD29A,#FFD196,#FFCF94
82,Milos Uzan,Houston,4.24547,3.02321,7.26868,1827,3.92677395436822,1.47670585994992,5.40347981431813,118.417090814125,87.0153487721346,31.40174204199,339,1897590,#FFD5A1,#FFCB8A,#FFCF94
83,Nate Bittle,Oregon,3.88773,3.37024,7.25797,1318,4.3571196378728,2.90308259608374,7.26020223395654,109.724864016862,99.7230564154194,10.0018076014422,10,1725326,#FFD9A9,#FFC57D,#FFD094
84,Xaivian Lee,Florida,3.8147,3.43152,7.24622,1670,4.50946100034827,2.61165757459198,7.12111857494025,120.576840977572,85.9481962069948,34.6286447705774,352,1924956,#FFD9AB,#FFC47B,#FFD094
85,Tobe Awaka,Arizona,4.35852,2.8795,7.23802,1280,3.66953706567024,2.93380653359689,6.60334359926713,125.643755390512,92.0514618016524,33.5922935888596,275,1890542,#FFD49F,#FFCE90,#FFD095
86,Meleek Thomas,Arkansas,5.21797,1.98689,7.20486,1834,4.36832927594007,2.29867632119674,6.66700559713681,128.412738853856,98.4074949948797,30.0052438589764,326,2533591,#FFCC8C,#FFDDB2,#FFD095
87,Keyshawn Hall,Auburn,5.96312,1.22933,7.19245,1793,6.07299245070978,2.59146653424085,8.66445898495063,123.373300082287,104.508901878023,18.8643982042641,97,1932541,#FFC57B,#FFEACF,#FFD095
88,Kylan Boswell,Illinois,5.3897,1.764,7.1537,1268,5.80508904819381,0.757917954225665,6.56300700241948,127.491246289821,95.6023041638018,31.8889421260194,273,1896870,#FFCA88,#FFE1BB,#FFD096
89,Blue Cain,Georgia,5.2624,1.79329,7.05569,1636,5.12482275082877,1.71187451340258,6.83669726423135,124.296449411562,100.443261271337,23.8531881402246,240,2098955,#FFCB8B,#FFE0BA,#FFD197
90,Mark Mitchell,Missouri,5.21302,1.83759,7.05061,1842,5.31317076329833,1.24622024539943,6.55939100869776,117.923710982038,101.519272734088,16.4044382479504,142,1917805,#FFCC8C,#FFDFB8,#FFD197
91,Tucker DeVries,Indiana,4.05023,3.00026,7.05049,1814,3.6213292866939,2.5664475526158,6.1877768393097,120.468745466512,97.7938947420322,22.6748507244802,272,1687948,#FFD7A6,#FFCC8B,#FFD197
92,Trevon Brazile,Arkansas,3.72735,3.29652,7.02387,1860,3.59712316363831,4.11705102559858,7.71417418923688,127.585866476178,98.9496686741177,28.6361978020603,270,1688263,#FFDAAD,#FFC780,#FFD198
93,Somto Cyril,Georgia,3.62449,3.37025,6.99474,1243,2.77465581727606,2.96983584141791,5.74449165869397,126.085567908582,98.2245474486679,27.861020459914,248,2311235,#FFDBAF,#FFC57D,#FFD198
94,Tomislav Ivisic,Illinois,4.56297,2.42814,6.99111,1186,3.9503644370962,1.59116469802795,5.54152913512416,127.885943173025,98.1311505250348,29.7547926479906,221,2321442,#FFD29A,#FFD5A1,#FFD198
95,Ryan Conwell,Louisville,4.97378,2.00411,6.97789,1738,4.9092000538422,2.0296714472489,6.93887150109111,122.995700573572,96.9019945123726,26.0937060611992,242,1912970,#FFCE91,#FFDCB2,#FFD198
96,Nijel Pack,Oklahoma,6.5715,0.391359,6.962859,1744,6.15647400961261,1.1799057449908,7.33637975460342,125.00591499913,104.846505372088,20.1594096270424,216,1601895,#FFBF6E,#FFF8EF,#FFD199
97,Trey McKenney,Michigan,4.04337,2.82071,6.86408,1294,3.51679973616448,0.761086697793447,4.27788643395793,126.238779065731,84.660336411827,41.5784426539039,379,2511345,#FFD7A6,#FFCF92,#FFD29A
98,C.J. Cox,Purdue,4.98721,1.85425,6.84146,1399,4.19972383890101,0.874449594002893,5.07417343290391,135.320456838477,94.003908089724,41.3165487487528,359,2334060,#FFCE91,#FFDFB7,#FFD29A
99,RJ Godfrey,Clemson,3.4436,3.38199,6.82559,1373,3.50682362810995,1.84892866978656,5.35575229789651,117.92926760915,90.9474000624529,26.9818675466969,243,1925548,#FFDDB3,#FFC57D,#FFD29B
100,Aly Khalifa,Louisville,3.87542,2.93771,6.81313,702,4.33423463481933,1.94128628153174,6.27552091635108,119.670987983841,90.0729951236647,29.5979928601761,171,1605566,#FFD9A9,#FFCD8E,#FFD29B
101,Otega Oweh,Kentucky,3.47786,3.29565,6.77351,1942,3.56479737460732,3.06995823571672,6.63475561032405,118.12459888486,96.3020061188884,21.8225927659713,155,1897589,#FFDDB2,#FFC780,#FFD39B
102,Dylan Darling,St. John's,2.6937,4.06551,6.75921,1197,2.48710751466363,2.30041310739883,4.78752062206245,114.84793730001,85.2947495364223,29.5531877635879,267,1907394,#FFE4C3,#FFB962,#FFD39C
103,Rashaun Agee,Texas A&M,3.89268,2.86536,6.75804,1542,4.7405870088243,2.55151179652751,7.29209880535181,117.561315257142,97.248207321695,20.3131079354465,209,1587000,#FFD9A9,#FFCE90,#FFD39C
104,Tahaad Pettiford,Auburn,4.56018,2.19688,6.75706,1843,3.68436618742294,2.86564907356749,6.55001526099044,121.094522224518,101.991029521092,19.1034927034262,143,2321438,#FFD29A,#FFD9AA,#FFD39C
105,Donovan Dent,UCLA,4.39139,2.3495,6.74089,1857,4.25859186819275,2.45998580706726,6.71857767526001,119.162228092334,100.99744695069,18.164781141644,136,1924344,#FFD49E,#FFD7A4,#FFD39C
106,J'Vonne Hadley,Louisville,4.60278,2.12567,6.72845,1590,4.81449136532581,1.83872862551311,6.65321999083892,123.044377764688,95.8648465514303,27.1795312132573,237,1600029,#FFD299,#FFDAAD,#FFD39C
107,Jalen Warley,Gonzaga,2.56535,4.16234,6.72769,1173,2.38834587907545,2.27820389085623,4.66654976993168,118.650490545142,84.7034214284157,33.947069116726,310,1689828,#FFE6C6,#FFB85F,#FFD39C
108,Amari Allen,Alabama,4.35918,2.36559,6.72477,1542,4.51682918952626,3.51840542955569,8.03523461908195,126.690141237477,100.709759313231,25.9803819242465,186,2550725,#FFD49F,#FFD6A4,#FFD39C
109,Mouhamed Dioubate,Kentucky,3.30962,3.35016,6.65978,1069,2.54527823966724,2.86950735773531,5.41478559740254,121.476976274089,95.2437536728162,26.2332226012724,103,2099732,#FFDEB6,#FFC67E,#FFD39D
110,"Paul McNeil, Jr.",NC State,5.74648,0.870245,6.616725,1642,4.97546954033906,1.0340934657642,6.00956300610326,124.53327598783,99.9318101622098,24.60146582562,266,2291869,#FFC780,#FFF0DD,#FFD49E
111,Robert McCray V,Florida State,4.40035,2.20491,6.60526,1724,4.61917419670781,2.7002797428431,7.31945393955091,116.075659624184,102.442423152194,13.6332364719896,81,1705240,#FFD49E,#FFD9AA,#FFD49E
112,Mikel Brown Jr.,Louisville,4.37137,2.1955,6.56687,1133,4.45813810013643,1.39700338134564,5.85514148148207,122.141036203497,94.801016052574,27.3400201509228,201,2483438,#FFD49E,#FFD9AA,#FFD49E
113,David Punch,TCU,2.16255,4.39961,6.56216,1674,3.00105763234246,3.52741593920586,6.52847357154832,112.491208669784,91.5650715433146,20.9261371264689,188,2305305,#FFEACF,#FFB456,#FFD49E
114,Amani Hansberry,Virginia Tech,4.02512,2.47077,6.49589,1565,3.9171635914385,2.59645518263384,6.51361877407234,116.859334419144,100.701433147795,16.157901271349,110,2142747,#FFD7A6,#FFD5A0,#FFD49F
115,Tayton Conerway,Indiana,3.78737,2.68945,6.47682,1047,3.945410918604,2.11318068544901,6.05859160405301,118.38764775335,98.1860519464768,20.2015958068735,157,2114200,#FFDAAB,#FFD197,#FFD5A0
116,Chris Cenac Jr,Houston,2.55107,3.92313,6.4742,1382,2.32035276069485,2.46940968401286,4.78976244470771,121.725707795783,85.4748096087339,36.2508981870494,320,2505093,#FFE6C6,#FFBC68,#FFD5A0
117,Drake Allen,Utah State,3.89635,2.54712,6.44347,1396,2.9059601642016,3.02606162501857,5.93202178922017,123.039730443479,99.8441123550649,23.195618088414,252,1890546,#FFD9A9,#FFD39D,#FFD5A0
118,Melvin Council Jr.,Kansas,3.10347,3.28647,6.38994,1965,3.31567576893994,2.62018423840634,5.93586000734629,115.863800715151,89.9593223753998,25.9044783397516,213,2110317,#FFE0BA,#FFC780,#FFD5A1
119,Malachi Moreno,Kentucky,3.16362,3.2129,6.37652,1364,3.40972799070914,2.92002921406251,6.32975720477164,119.295090264797,94.3031571568589,24.9919331079378,185,2506866,#FFE0B9,#FFC883,#FFD5A1
120,Skyy Clark,UCLA,4.54815,1.79888,6.34703,1136,3.88492593365412,1.02528665880553,4.91021259245965,123.037835951826,98.575165164774,24.4626707870522,185,1909629,#FFD29B,#FFE0B9,#FFD5A2
121,Rafael Castro,George Washington,3.75622,2.58799,6.34421,1267,4.53372427064955,2.91415542984509,7.44787970049464,115.094054354424,101.289394411363,13.8046599430607,144,1687607,#FFDAAC,#FFD39B,#FFD5A2
122,Lamar Wilkerson,Indiana,5.11474,1.22132,6.33606,1800,5.41024762087876,1.47133353517995,6.8815811560587,119.402133001122,99.9511537510877,19.4509792500338,173,1890625,#FFCD8E,#FFEAD0,#FFD6A2
123,Alvaro Folgueiras,Iowa,4.51833,1.81311,6.33144,1090,4.28477374264311,1.78659765206411,6.07137139470721,122.412909039314,100.323199784094,22.0897092552198,151,2137301,#FFD39B,#FFE0B9,#FFD6A2
124,Duke Brennan,Villanova,3.25099,3.06066,6.31165,1583,3.93449359626912,1.93491681766099,5.86941041393011,118.474614866994,93.0370323966681,25.4375824703254,243,1911033,#FFDFB7,#FFCB89,#FFD6A2
125,Ivan Kharchenkov,Arizona,3.10867,3.19807,6.30674,1711,3.24787788821628,2.34889937206461,5.59677726028089,122.688332709283,86.7270120750954,35.9613206341879,385,2478066,#FFE0BA,#FFC884,#FFD6A2
126,Tyler Bilodeau,UCLA,4.7034,1.57619,6.27959,1549,5.44080924079333,1.35482094761326,6.79563018840659,120.225703541161,99.4280210875291,20.7976824536321,215,1912250,#FFD197,#FFE4C2,#FFD6A3
127,Dallin Hall,Virginia,4.13263,2.12672,6.25935,1605,4.19274361502881,1.22912612207664,5.42186973710545,120.329038213312,91.6619191969924,28.6671190163197,304,1906896,#FFD6A4,#FFDAAD,#FFD6A3
128,Billy Richmond III,Arkansas,3.60417,2.64404,6.24821,1670,3.39704527502499,2.83282807739682,6.22987335242182,125.247051315976,97.5736997259238,27.6733515900521,221,2302280,#FFDCAF,#FFD299,#FFD6A3
